date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
15.3.2000;-0.85;-0.496967869;-0.344960753;-0.284672652;-0.25076205;-0.229404256;-0.215603076;-0.207220557;-0.203244421;-0.203244421;-0.207220557;-0.215603076;-0.229404256;-0.25076205;-0.284672652;-0.344960753;-0.496967869;-0.85
16.3.2000;-0.85;-0.500429619;-0.349339306;-0.289098504;-0.255295955;-0.234053218;-0.220343588;-0.212016889;-0.20806461;-0.20806461;-0.212016889;-0.220343588;-0.234053218;-0.255295955;-0.289098504;-0.349339306;-0.500429619;-0.85
17.3.2000;-0.85;-0.50419676;-0.353818057;-0.293429991;-0.25964612;-0.238468446;-0.224824524;-0.216542303;-0.212610453;-0.212610453;-0.216542303;-0.224824524;-0.238468446;-0.25964612;-0.293429991;-0.353818057;-0.50419676;-0.85
18.3.2000;-0.85;-0.508283653;-0.358401558;-0.297719799;-0.263891955;-0.242739672;-0.229137564;-0.220888557;-0.21697326;-0.21697326;-0.220888557;-0.229137564;-0.242739672;-0.263891955;-0.297719799;-0.358401558;-0.508283653;-0.85
19.3.2000;-0.85;-0.512642863;-0.363045171;-0.301954401;-0.268044068;-0.246888334;-0.233306234;-0.225079391;-0.221176506;-0.221176506;-0.225079391;-0.233306234;-0.246888334;-0.268044068;-0.301954401;-0.363045171;-0.512642863;-0.85
20.3.2000;-0.85;-0.517159048;-0.367639516;-0.306050095;-0.272040595;-0.250860528;-0.237282471;-0.229068282;-0.225173807;-0.225173807;-0.229068282;-0.237282471;-0.250860528;-0.272040595;-0.306050095;-0.367639516;-0.517159048;-0.85
21.3.2000;-0.85;-0.521904523;-0.372251964;-0.310073722;-0.27596397;-0.254745226;-0.241159178;-0.232949908;-0.229060263;-0.229060263;-0.232949908;-0.241159178;-0.254745226;-0.27596397;-0.310073722;-0.372251964;-0.521904523;-0.85
22.3.2000;-0.85;-0.526806449;-0.376809881;-0.313954463;-0.27976029;-0.25849689;-0.244896758;-0.236684601;-0.232796278;-0.232796278;-0.236684601;-0.244896758;-0.25849689;-0.27976029;-0.313954463;-0.376809881;-0.526806449;-0.85
23.3.2000;-0.85;-0.53190239;-0.381343532;-0.317715691;-0.283464482;-0.262155521;-0.248537036;-0.240316924;-0.236427249;-0.236427249;-0.240316924;-0.248537036;-0.262155521;-0.283464482;-0.317715691;-0.381343532;-0.53190239;-0.85
24.3.2000;-0.85;-0.537268111;-0.385922138;-0.32141864;-0.287144037;-0.265791876;-0.252152762;-0.243922667;-0.240028579;-0.240028579;-0.243922667;-0.252152762;-0.265791876;-0.287144037;-0.32141864;-0.385922138;-0.537268111;-0.85
