date;0;1;2;3;4;5;6;7;8;9;10;11
11.4.2006;-1.03;-0.675964345;-0.479182097;-0.374772413;-0.327906386;-0.309830265;-0.309830265;-0.327906386;-0.374772413;-0.479182097;-0.675964345;-1.03
12.4.2006;-1.03;-0.682901432;-0.488586307;-0.384294806;-0.336427848;-0.317775925;-0.317775925;-0.336427848;-0.384294806;-0.488586307;-0.682901432;-1.03
13.4.2006;-1.03;-0.689867269;-0.498343819;-0.393748653;-0.344845096;-0.325667938;-0.325667938;-0.344845096;-0.393748653;-0.498343819;-0.689867269;-1.03
14.4.2006;-1.03;-0.697003345;-0.508457765;-0.403178956;-0.353249117;-0.333678495;-0.333678495;-0.353249117;-0.403178956;-0.508457765;-0.697003345;-1.03
15.4.2006;-1.03;-0.702672202;-0.516854011;-0.410648577;-0.359699071;-0.339815523;-0.339815523;-0.359699071;-0.410648577;-0.516854011;-0.702672202;-1.03
16.4.2006;-1.03;-0.710005491;-0.527116254;-0.419952539;-0.368025465;-0.34793632;-0.34793632;-0.368025465;-0.419952539;-0.527116254;-0.710005491;-1.03
17.4.2006;-1.03;-0.704449076;-0.521994629;-0.413743213;-0.360819627;-0.340244284;-0.340244284;-0.360819627;-0.413743213;-0.521994629;-0.704449076;-1.03
18.4.2006;-1.03;-0.698619475;-0.515615094;-0.406776586;-0.35315399;-0.332144812;-0.332144812;-0.35315399;-0.406776586;-0.515615094;-0.698619475;-1.03
19.4.2006;-1.03;-0.69431776;-0.510379066;-0.401334607;-0.347318221;-0.326023922;-0.326023922;-0.347318221;-0.401334607;-0.510379066;-0.69431776;-1.03
20.4.2006;-1.03;-0.703339718;-0.520835568;-0.411679314;-0.357496785;-0.336249654;-0.336249654;-0.357496785;-0.411679314;-0.520835568;-0.703339718;-1.03
21.4.2006;-1.03;-0.711879916;-0.531401853;-0.421804219;-0.367225075;-0.346012915;-0.346012915;-0.367225075;-0.421804219;-0.531401853;-0.711879916;-1.03
22.4.2006;-1.03;-0.71983234;-0.541619794;-0.431625763;-0.376469684;-0.355203257;-0.355203257;-0.376469684;-0.431625763;-0.541619794;-0.71983234;-1.03
23.4.2006;-1.03;-0.726615985;-0.550595754;-0.440464006;-0.384578644;-0.363113609;-0.363113609;-0.384578644;-0.440464006;-0.550595754;-0.726615985;-1.03
24.4.2006;-1.03;-0.733613917;-0.559781355;-0.449964019;-0.393246265;-0.371430563;-0.371430563;-0.393246265;-0.449964019;-0.559781355;-0.733613917;-1.03
25.4.2006;-1.03;-0.74014672;-0.568410019;-0.459307088;-0.401687929;-0.37934153;-0.37934153;-0.401687929;-0.459307088;-0.568410019;-0.74014672;-1.03
26.4.2006;-1.03;-0.746319012;-0.576604547;-0.468529832;-0.40999696;-0.386953445;-0.386953445;-0.40999696;-0.468529832;-0.576604547;-0.746319012;-1.03
27.4.2006;-1.03;-0.75262447;-0.584988968;-0.478164967;-0.418760382;-0.394891103;-0.394891103;-0.418760382;-0.478164967;-0.584988968;-0.75262447;-1.03
28.4.2006;-1.03;-0.75726725;-0.591500244;-0.485811129;-0.425621064;-0.40089294;-0.40089294;-0.425621064;-0.485811129;-0.591500244;-0.75726725;-1.03
29.4.2006;-1.03;-0.761179913;-0.597221734;-0.492538991;-0.431716935;-0.406158512;-0.406158512;-0.431716935;-0.492538991;-0.597221734;-0.761179913;-1.03
30.4.2006;-1.03;-0.766325152;-0.604306479;-0.500609552;-0.439386479;-0.413027534;-0.413027534;-0.439386479;-0.500609552;-0.604306479;-0.766325152;-1.03
1.5.2006;-1.03;-0.769574652;-0.609279607;-0.50635425;-0.44483736;-0.417749178;-0.417749178;-0.44483736;-0.50635425;-0.609279607;-0.769574652;-1.03
2.5.2006;-1.03;-0.76132926;-0.600924147;-0.497930088;-0.435724141;-0.408168785;-0.408168785;-0.435724141;-0.497930088;-0.600924147;-0.76132926;-1.03
3.5.2006;-1.03;-0.766589681;-0.607512225;-0.505178673;-0.442893065;-0.414943057;-0.414943057;-0.442893065;-0.505178673;-0.607512225;-0.766589681;-1.03
4.5.2006;-1.03;-0.773334418;-0.616055631;-0.514436277;-0.452311062;-0.423929229;-0.423929229;-0.452311062;-0.514436277;-0.616055631;-0.773334418;-1.03
5.5.2006;-1.03;-0.780684804;-0.625516942;-0.524620117;-0.462850495;-0.434100194;-0.434100194;-0.462850495;-0.524620117;-0.625516942;-0.780684804;-1.03
6.5.2006;-1.03;-0.7865365;-0.633329284;-0.533079726;-0.471692442;-0.442688186;-0.442688186;-0.471692442;-0.533079726;-0.633329284;-0.7865365;-1.03
7.5.2006;-1.03;-0.79292091;-0.641852803;-0.542335328;-0.4813872;-0.452293331;-0.452293331;-0.4813872;-0.542335328;-0.641852803;-0.79292091;-1.03
8.5.2006;-1.03;-0.774429691;-0.621880334;-0.521757017;-0.460078685;-0.430572537;-0.430572537;-0.460078685;-0.521757017;-0.621880334;-0.774429691;-1.03
9.5.2006;-1.03;-0.777104621;-0.625091835;-0.525401931;-0.463844405;-0.434255234;-0.434255234;-0.463844405;-0.525401931;-0.625091835;-0.777104621;-1.03
10.5.2006;-1.03;-0.716062642;-0.555386652;-0.450257525;-0.387512091;-0.359155766;-0.359155766;-0.387512091;-0.450257525;-0.555386652;-0.716062642;-1.03
11.5.2006;-1.03;-0.725062714;-0.562931383;-0.457189215;-0.395130062;-0.368228329;-0.368228329;-0.395130062;-0.457189215;-0.562931383;-0.725062714;-1.03
12.5.2006;-1.03;-0.733204404;-0.570447819;-0.464679053;-0.402951759;-0.376774081;-0.376774081;-0.402951759;-0.464679053;-0.570447819;-0.733204404;-1.03
13.5.2006;-1.03;-0.742450637;-0.579945573;-0.474805992;-0.413127454;-0.387098673;-0.387098673;-0.413127454;-0.474805992;-0.579945573;-0.742450637;-1.03
14.5.2006;-1.03;-0.751265783;-0.589616349;-0.485411009;-0.423600948;-0.39731474;-0.39731474;-0.423600948;-0.485411009;-0.589616349;-0.751265783;-1.03
15.5.2006;-1.03;-0.757117802;-0.596414776;-0.493005808;-0.431002812;-0.404273841;-0.404273841;-0.431002812;-0.493005808;-0.596414776;-0.757117802;-1.03
16.5.2006;-1.03;-0.753655315;-0.59276277;-0.489385524;-0.426991669;-0.399951574;-0.399951574;-0.426991669;-0.489385524;-0.59276277;-0.753655315;-1.03
17.5.2006;-1.03;-0.740165311;-0.577369687;-0.472678168;-0.41002843;-0.383194909;-0.383194909;-0.41002843;-0.472678168;-0.577369687;-0.740165311;-1.03
18.5.2006;-1.03;-0.749094566;-0.587096513;-0.482985614;-0.420457095;-0.393648296;-0.393648296;-0.420457095;-0.482985614;-0.587096513;-0.749094566;-1.03
19.5.2006;-1.03;-0.754322437;-0.59306333;-0.489477354;-0.426887428;-0.39985078;-0.39985078;-0.426887428;-0.489477354;-0.59306333;-0.754322437;-1.03
20.5.2006;-1.03;-0.761016471;-0.600989537;-0.498112447;-0.435528294;-0.40810014;-0.40810014;-0.435528294;-0.498112447;-0.600989537;-0.761016471;-1.03
21.5.2006;-1.03;-0.770385033;-0.612411631;-0.510431151;-0.448108772;-0.420167803;-0.420167803;-0.448108772;-0.510431151;-0.612411631;-0.770385033;-1.03
22.5.2006;-1.03;-0.779579741;-0.623990045;-0.522866079;-0.4609954;-0.432577953;-0.432577953;-0.4609954;-0.522866079;-0.623990045;-0.779579741;-1.03
23.5.2006;-1.03;-0.790705765;-0.638169815;-0.538046968;-0.476850639;-0.448184516;-0.448184516;-0.476850639;-0.538046968;-0.638169815;-0.790705765;-1.03
24.5.2006;-1.03;-0.801649915;-0.652419488;-0.553437536;-0.492890269;-0.464238174;-0.464238174;-0.492890269;-0.553437536;-0.652419488;-0.801649915;-1.03
25.5.2006;-1.03;-0.81122225;-0.665233678;-0.567482327;-0.507482692;-0.478996067;-0.478996067;-0.507482692;-0.567482327;-0.665233678;-0.81122225;-1.03
26.5.2006;-1.03;-0.821204171;-0.678716999;-0.582379559;-0.522934742;-0.494674523;-0.494674523;-0.522934742;-0.582379559;-0.678716999;-0.821204171;-1.03
27.5.2006;-1.03;-0.827574381;-0.687910459;-0.592832848;-0.533851942;-0.505754223;-0.505754223;-0.533851942;-0.592832848;-0.687910459;-0.827574381;-1.03
28.5.2006;-1.03;-0.836445083;-0.700202126;-0.606616908;-0.548248998;-0.520357407;-0.520357407;-0.548248998;-0.606616908;-0.700202126;-0.836445083;-1.03
29.5.2006;-1.03;-0.843618612;-0.710494993;-0.618337209;-0.560579944;-0.532880315;-0.532880315;-0.560579944;-0.618337209;-0.710494993;-0.843618612;-1.03
30.5.2006;-1.03;-0.851835503;-0.722091592;-0.631537863;-0.574486748;-0.547024296;-0.547024296;-0.574486748;-0.631537863;-0.722091592;-0.851835503;-1.03
31.5.2006;-1.03;-0.860960926;-0.734847714;-0.64609337;-0.589836687;-0.562657206;-0.562657206;-0.589836687;-0.64609337;-0.734847714;-0.860960926;-1.03
1.6.2006;-1.03;-0.872602548;-0.750770116;-0.664200459;-0.608904777;-0.582090592;-0.582090592;-0.608904777;-0.664200459;-0.750770116;-0.872602548;-1.03
2.6.2006;-1.03;-0.883115043;-0.765437299;-0.681105263;-0.626792974;-0.600363585;-0.600363585;-0.626792974;-0.681105263;-0.765437299;-0.883115043;-1.03
3.6.2006;-1.03;-0.888676909;-0.774176158;-0.691594266;-0.63811443;-0.612003731;-0.612003731;-0.63811443;-0.691594266;-0.774176158;-0.888676909;-1.03
4.6.2006;-1.03;-0.900276395;-0.790222152;-0.710178904;-0.657845768;-0.632190642;-0.632190642;-0.657845768;-0.710178904;-0.790222152;-0.900276395;-1.03
5.6.2006;-1.03;-0.903271182;-0.795937292;-0.717328988;-0.665819397;-0.640483146;-0.640483146;-0.665819397;-0.717328988;-0.795937292;-0.903271182;-1.03
6.6.2006;-1.03;-0.904021665;-0.799277114;-0.72220041;-0.671518927;-0.646491526;-0.646491526;-0.671518927;-0.72220041;-0.799277114;-0.904021665;-1.03
7.6.2006;-1.03;-0.909879884;-0.808027187;-0.73268333;-0.683020082;-0.658394523;-0.658394523;-0.683020082;-0.73268333;-0.808027187;-0.909879884;-1.03
8.6.2006;-1.03;-0.918417826;-0.82004506;-0.746760846;-0.698348775;-0.674213027;-0.674213027;-0.698348775;-0.746760846;-0.82004506;-0.918417826;-1.03
9.6.2006;-1.03;-0.927468095;-0.832778946;-0.761608453;-0.714571731;-0.690970579;-0.690970579;-0.714571731;-0.761608453;-0.832778946;-0.927468095;-1.03
10.6.2006;-1.03;-0.935367929;-0.84425152;-0.775075881;-0.729293871;-0.706321946;-0.706321946;-0.729293871;-0.775075881;-0.84425152;-0.935367929;-1.03
11.6.2006;-1.03;-0.944917293;-0.857747394;-0.790772875;-0.746344704;-0.724112586;-0.724112586;-0.746344704;-0.790772875;-0.857747394;-0.944917293;-1.03
12.6.2006;-1.03;-0.954197079;-0.871020953;-0.806226756;-0.763096422;-0.741555619;-0.741555619;-0.763096422;-0.806226756;-0.871020953;-0.954197079;-1.03
13.6.2006;-1.03;-0.966103502;-0.887473354;-0.825152426;-0.7834937;-0.762690216;-0.762690216;-0.7834937;-0.825152426;-0.887473354;-0.966103502;-1.03
14.6.2006;-1.03;-0.977814864;-0.903831695;-0.843995021;-0.803785067;-0.783690103;-0.783690103;-0.803785067;-0.843995021;-0.903831695;-0.977814864;-1.03
15.6.2006;-1.03;-0.990484295;-0.921380408;-0.864117896;-0.825392759;-0.806016673;-0.806016673;-0.825392759;-0.864117896;-0.921380408;-0.990484295;-1.03
16.6.2006;-1.03;-0.99867712;-0.933892708;-0.87878561;-0.841251637;-0.822437445;-0.822437445;-0.841251637;-0.87878561;-0.933892708;-0.99867712;-1.03
